sentence,label,processed_sentence,Assigned_Topic
Wow... Loved this place.,1,wow loved place,8
Crust is not good.,0,crust good,1
Not tasty and the texture was just nasty.,0,tasty texture nasty,6
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped late may bank holiday rick steve recommendation loved,10
The selection on the menu was great and so were the prices.,1,selection menu great price,1
Now I am getting angry and I want my damn pho.,0,getting angry want damn pho,4
Honeslty it didn't taste THAT fresh.),0,honeslty didnt taste fresh,3
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,potato like rubber could tell made ahead time kept warmer,7
The fries were great too.,1,fry great,3
A great touch.,1,great touch,10
Service was very prompt.,1,service prompt,7
Would not go back.,0,would go back,1
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,cashier care ever say still ended wayyy overpriced,6
"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1,tried cape cod ravoli chickenwith cranberrymmmm,9
I was disgusted because I was pretty sure that was human hair.,0,disgusted pretty sure human hair,4
I was shocked because no signs indicate cash only.,0,shocked sign indicate cash,5
Highly recommended.,1,highly recommended,4
Waitress was a little slow in service.,0,waitress little slow service,3
"This place is not worth your time, let alone Vegas.",0,place worth time let alone vega,6
did not like at all.,0,like,7
The Burrittos Blah!,0,burrittos blah,1
"The food, amazing.",1,food amazing,5
Service is also cute.,1,service also cute,7
I could care less... The interior is just beautiful.,1,could care less interior beautiful,3
So they performed.,1,performed,9
That's right....the red velvet cake.....ohhh this stuff is so good.,1,thats rightthe red velvet cakeohhh stuff good,10
- They never brought a salad we asked for.,0,never brought salad asked,2
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,hole wall great mexican street taco friendly staff,4
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took hour get food table restaurant food luke warm sever running around like totally overwhelmed,6
The worst was the salmon sashimi.,0,worst salmon sashimi,8
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also combo like burger fry beer decent deal,5
This was like the final blow!,0,like final blow,7
I found this place by accident and I could not be happier.,1,found place accident could happier,8
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like good quick place grab bite familiar pub food favor look elsewhere,5
"Overall, I like this place a lot.",1,overall like place lot,6
The only redeeming quality of the restaurant was that it was very inexpensive.,1,redeeming quality restaurant inexpensive,1
Ample portions and good prices.,1,ample portion good price,1
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service waiter made feel like stupid every time came table,7
My first visit to Hiro was a delight!,1,first visit hiro delight,9
Service sucks.,0,service suck,9
The shrimp tender and moist.,1,shrimp tender moist,2
There is not a deal good enough that would drag me into that establishment again.,0,deal good enough would drag establishment,1
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard judge whether side good grossed melted styrofoam didnt want eat fear getting sick,2
"On a positive note, our server was very attentive and provided great service.",1,positive note server attentive provided great service,1
